test_id,batch_type,population_expected,outcome_expected,grouping_expected,group_expected,year_request_expected,question,notes
flu_adult_011,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Disability status,With disability,last_year_latest_available,What percent of adults with disabilities got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_012,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Disability status,Without disability,last_year_latest_available,What percent of adults without disabilities got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_013,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Education,College degree or higher,last_year_latest_available,What percent of adults with a college degree or more got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_014,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Education,High school diploma or GED,last_year_latest_available,What percent of adults with a high school diploma or GED got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_015,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Education,Less than high school diploma,last_year_latest_available,What percent of adults with less than high school got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_016,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Education,Some college,last_year_latest_available,What percent of adults with some college got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_017,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Employment status,Employed,last_year_latest_available,What percent of employed adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_018,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Employment status,Full-Time,last_year_latest_available,What percent of adults working full time got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_019,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Employment status,Not currently employed and has never worked,last_year_latest_available,What percent of adults who have never worked got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_020,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Employment status,Not currently employed but has worked previously,last_year_latest_available,What percent of adults not currently working but worked before got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_021,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Employment status,Not employed,last_year_latest_available,What percent of adults not working got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_022,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Employment status,Part-Time,last_year_latest_available,What percent of adults working part time got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_023,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: 65 and over,Medicare Advantage,last_year_latest_available,What percent of adults age 65 and older with Medicare Advantage got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_024,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: 65 and over,Medicare and Medicaid,last_year_latest_available,What percent of adults age 65 and older with Medicaid or state coverage got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_025,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: 65 and over,Medicare only excluding Medicare Advantage,last_year_latest_available,What percent of adults age 65 and older with Medicare only got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_026,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: 65 and over,Other government coverage,last_year_latest_available,What percent of adults age 65 and older with other government insurance got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_027,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: 65 and over,Private,last_year_latest_available,What percent of adults age 65 and older with private insurance got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_028,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: 65 and over,Uninsured,last_year_latest_available,What percent of uninsured adults age 65 and older got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_029,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: Under 65,Medicaid or other state programs,last_year_latest_available,What percent of adults under age 65 with Medicaid or state coverage got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_030,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: Under 65,Other government coverage,last_year_latest_available,What percent of adults under age 65 with other government insurance got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_031,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: Under 65,Private,last_year_latest_available,What percent of adults under age 65 with private insurance got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_032,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Health insurance coverage: Under 65,Uninsured,last_year_latest_available,What percent of uninsured adults under age 65 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_033,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Hispanic or Latino origin and race,"Black only, non-Hispanic",last_year_latest_available,What percent of non-Hispanic Black adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_034,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Hispanic or Latino origin and race,Hispanic,last_year_latest_available,What percent of Hispanic adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_035,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Hispanic or Latino origin and race,Mexican or Mexican American,last_year_latest_available,What percent of Mexican or Mexican American adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_036,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Hispanic or Latino origin and race,Non-Hispanic,last_year_latest_available,What percent of non-Hispanic adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_037,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Hispanic or Latino origin and race,"Other races, non-Hispanic",last_year_latest_available,What percent of non-Hispanic adults of other races got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_038,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Hispanic or Latino origin and race,"White only, non-Hispanic",last_year_latest_available,What percent of non-Hispanic White adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_039,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Marital status,Divorced or separated,last_year_latest_available,What percent of divorced or separated adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_040,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Marital status,Living with a partner,last_year_latest_available,What percent of partnered adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_041,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Marital status,Married,last_year_latest_available,What percent of married adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_042,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Marital status,Never married,last_year_latest_available,What percent of never-married adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_043,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Marital status,Widowed,last_year_latest_available,What percent of widowed adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_044,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Metropolitan statistical area status,Large MSA,last_year_latest_available,What percent of adults in large metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_045,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Metropolitan statistical area status,Not in MSA,last_year_latest_available,What percent of adults in nonmetro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_046,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Metropolitan statistical area status,Small MSA,last_year_latest_available,What percent of adults in small metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_047,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Nativity,Foreign-born,last_year_latest_available,What percent of foreign-born adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_048,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Nativity,U.S.-born,last_year_latest_available,What percent of U.S.-born adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_049,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Poverty status,100% to less than 200% FPL,last_year_latest_available,What percent of adults at 100 to under 200 percent FPL got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_050,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Poverty status,200% and greater FPL,last_year_latest_available,What percent of adults at 200 percent FPL or higher got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_051,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Poverty status,Less than 100% FPL,last_year_latest_available,What percent of adults below the poverty threshold got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_052,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,American Indian or Alaska Native and White,last_year_latest_available,What percent of AIAN and White adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_053,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,American Indian or Alaska Native only,last_year_latest_available,What percent of AIAN adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_054,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,Asian only,last_year_latest_available,What percent of Asian adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_055,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,Black and White,last_year_latest_available,What percent of Black and White adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_056,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,Black only,last_year_latest_available,What percent of Black adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_057,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,Native Hawaiian or Other Pacific Islander only,last_year_latest_available,What percent of NHPI adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_058,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Race,White only,last_year_latest_available,What percent of White adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_059,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Region,Midwest,last_year_latest_available,What percent of adults in the Midwest got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_060,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Region,Northeast,last_year_latest_available,What percent of adults in the Northeast got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_061,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Region,South,last_year_latest_available,What percent of adults in the South got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_062,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Region,West,last_year_latest_available,What percent of adults in the West got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_063,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Sex,Female,last_year_latest_available,What percent of women got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_064,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Sex,Male,last_year_latest_available,What percent of men got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_065,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Sexual orientation,Bisexual,last_year_latest_available,What percent of bisexual adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_066,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Sexual orientation,Gay or Lesbian,last_year_latest_available,What percent of gay or lesbian adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_067,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Sexual orientation,Straight,last_year_latest_available,What percent of straight adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_068,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Social vulnerability,High social vulnerability,last_year_latest_available,What percent of adults in areas with high social vulnerability got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_069,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Social vulnerability,Little to no social vulnerability,last_year_latest_available,What percent of adults in areas with little to no social vulnerability got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_070,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Social vulnerability,Low social vulnerability,last_year_latest_available,What percent of adults in areas with low social vulnerability got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_071,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Social vulnerability,Medium social vulnerability,last_year_latest_available,What percent of adults in areas with medium social vulnerability got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_072,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Total,Total,last_year_latest_available,What percent of adults overall got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_073,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Urbanicity,Large central metro,last_year_latest_available,What percent of large central metro adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_074,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Urbanicity,Large fringe metro,last_year_latest_available,What percent of large fringe metro adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_075,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Urbanicity,Medium and small metro,last_year_latest_available,What percent of medium and small metro adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_076,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Urbanicity,Nonmetropolitan,last_year_latest_available,What percent of nonmetropolitan adults got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_077,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Veteran Status,Non-veteran,last_year_latest_available,What percent of non-veterans got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_078,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Veteran Status,Veteran,last_year_latest_available,What percent of veterans got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_001,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Age groups,12-17 years,last_year_latest_available,What percent of kids ages 12-17 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_002,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Age groups,5-11 years,last_year_latest_available,What percent of kids ages 5-11 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_003,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Age groups,6 months-4 years,last_year_latest_available,What percent of kids ages 6 months-4 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_004,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Difficulty Status,With functioning difficulty,last_year_latest_available,What percent of kids with functioning difficulties got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_005,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Difficulty Status,Without functioning difficulty,last_year_latest_available,What percent of kids without functioning difficulties got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_006,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Disability Status,With disability,last_year_latest_available,What percent of kids with disabilities got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_007,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Disability Status,Without disability,last_year_latest_available,What percent of kids without disabilities got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_008,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family income,100% to less than 200% FPL,last_year_latest_available,What percent of kids in families 100 to under 200 percent of poverty got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_009,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family income,200% and greater FPL,last_year_latest_available,What percent of kids in families at least 200 percent of poverty got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_010,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family income,Less than 100% FPL,last_year_latest_available,What percent of kids in families below poverty got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_011,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family structure,At least one related or unrelated adult (not a parent),last_year_latest_available,What percent of kids living with another adult who is not a parent got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_012,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family structure,Cohabiting parents,last_year_latest_available,What percent of kids living with cohabiting parents got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_013,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family structure,Married parents,last_year_latest_available,What percent of kids living with married parents got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_014,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family structure,"Single parent, ever married",last_year_latest_available,What percent of kids with a single parent who was ever married got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_015,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Family structure,"Single parent, never married",last_year_latest_available,What percent of kids with a single parent who was never married got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_016,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Health insurance coverage,Medicaid or other state programs,last_year_latest_available,What percent of kids with Medicaid or state coverage got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_017,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Health insurance coverage,Other government coverage,last_year_latest_available,What percent of kids with other government insurance got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_018,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Health insurance coverage,Private,last_year_latest_available,What percent of kids with private insurance got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_019,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Health insurance coverage,Uninsured,last_year_latest_available,What percent of uninsured kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_020,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Hispanic or Latino origin and race,"Black only, non-Hispanic",last_year_latest_available,What percent of non-Hispanic Black kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_021,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Hispanic or Latino origin and race,Hispanic,last_year_latest_available,What percent of Hispanic kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_022,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Hispanic or Latino origin and race,Mexican or Mexican American,last_year_latest_available,What percent of Mexican or Mexican American kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_023,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Hispanic or Latino origin and race,Non-Hispanic,last_year_latest_available,What percent of non-Hispanic kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_024,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Hispanic or Latino origin and race,"Other race, non-Hispanic",last_year_latest_available,What percent of non-Hispanic kids of another race got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_025,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Hispanic or Latino origin and race,"White only, non-Hispanic",last_year_latest_available,What percent of non-Hispanic White kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_026,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Metro,Large central metro,last_year_latest_available,What percent of kids in large central metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_027,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Metro,Large fringe metro,last_year_latest_available,What percent of kids in large fringe metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_028,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Metro,Medium and small metro,last_year_latest_available,What percent of kids in medium or small metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_029,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Metro,Nonmetropolitan,last_year_latest_available,What percent of kids in nonmetro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_030,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Parental Education,College degree or higher,last_year_latest_available,What percent of kids whose parents have a college degree or more got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_031,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Parental Education,High school diploma or GED,last_year_latest_available,What percent of kids whose parents have a high school diploma or GED got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_032,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Parental Education,Less than high school diploma,last_year_latest_available,What percent of kids whose parents have less than high school got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_033,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Parental Education,Some college,last_year_latest_available,What percent of kids whose parents have some college got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_034,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Place of residence,Large MSA,last_year_latest_available,What percent of kids in large metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_035,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Place of residence,Not in MSA,last_year_latest_available,What percent of kids in nonmetro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_036,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Place of residence,Small MSA,last_year_latest_available,What percent of kids in small metro areas got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_037,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Poverty status,100% to less than 200% FPL,last_year_latest_available,What percent of kids at 100 to under 200 percent FPL got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_038,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Poverty status,200% and greater FPL,last_year_latest_available,What percent of kids at 200 percent FPL or higher got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_039,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Poverty status,Less than 100% FPL,last_year_latest_available,What percent of kids below the poverty threshold got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_040,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Race,American Indian and Alaska Native and White,last_year_latest_available,What percent of AIAN and White kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_041,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Race,American Indian or Alaska Native only,last_year_latest_available,What percent of AIAN kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_042,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Race,Asian only,last_year_latest_available,What percent of Asian kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_child_043,flu_all_demographic_subgroups_latest,child,Receipt of influenza vaccination,Race,Black and White,last_year_latest_available,What percent of Black and White kids got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
